EmployeeId,Age,Gender,MaritalStatus,Turnover,Department,Role,RoleGrade,QualificationsHeld,YearsWorkExperience,EducationField,EmployeeSatisfactionScore,JobEngagementScore,JobSatisfactionScore,PreviousManagerRelationshipSatisfactionScore,ManagerRelationshipSatisfactionScore,Traveling,RegularOvertime,PercentSalaryHike,ContractHours,SharesOptionLevel,TrainingTimesLastYear,WorkLifeBalanceScore,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,DistanceFromHome
183,26,M,Divorced,No,Research & Development,Laboratory Technician,2,3,1,Life Sciences,3,2,4,2,3,Sometimes,No,11,37.5,2,6,3,10,0,10,5
184,34,F,Divorced,No,Research & Development,Laboratory Technician,1,2,2,Life Sciences,3,4,3,3,3,No,No,12,37.5,1,5,4,9,1,1,21
185,22,M,Single,No,Research & Development,Research Scientist,1,1,1,Life Sciences,3,4,2,2,3,Sometimes,No,14,37.5,0,3,3,0,0,0,11
186,34,F,Divorced,No,Sales,Sales Executive,2,2,3,Medical,3,3,4,4,3,Mostly,Yes,16,37.5,2,2,4,1,1,1,16
187,35,M,Married,No,Sales,Sales Executive,2,4,1,Other,2,3,3,1,3,Sometimes,No,12,37.5,2,4,3,8,2,3,4
188,21,M,Single,No,Research & Development,Research Scientist,1,3,6,Medical,1,3,3,4,3,No,No,13,37.5,0,2,1,2,2,2,1
189,46,M,Single,No,Sales,Sales Executive,2,3,1,Life Sciences,2,4,3,2,3,Sometimes,No,13,37.5,0,3,4,19,7,8,1
190,29,M,Married,No,Sales,Sales Executive,3,1,3,Life Sciences,2,2,4,1,3,Sometimes,No,13,37.5,1,3,1,3,3,2,9
191,30,M,Divorced,Yes,Research & Development,Laboratory Technician,1,4,7,Technical Degree,3,3,4,3,3,Sometimes,Yes,11,37.5,1,2,4,2,2,2,2
192,39,F,Single,No,Research & Development,Manufacturing Director,3,3,1,Life Sciences,4,2,1,3,3,Mostly,Yes,14,37.5,0,2,2,10,8,10,24
193,50,F,Married,No,Sales,Sales Executive,2,3,2,Marketing,3,2,2,1,3,Mostly,Yes,15,37.5,2,0,3,9,3,3,2
194,30,F,Married,Yes,Sales,Sales Executive,2,4,8,Marketing,4,3,4,1,3,Sometimes,No,14,37.5,1,2,3,6,2,6,28
195,30,M,Divorced,No,Research & Development,Manufacturing Director,2,4,4,Life Sciences,3,2,4,3,4,Sometimes,No,25,37.5,1,2,3,1,1,1,29
196,36,F,Married,No,Research & Development,Research Director,4,1,2,Life Sciences,2,2,1,4,3,Sometimes,No,11,37.5,1,2,3,7,4,7,8
197,42,M,Single,No,Sales,Sales Executive,2,1,3,Medical,2,2,2,1,3,Sometimes,No,12,37.5,0,6,4,1,1,1,9
198,29,F,Married,No,Sales,Sales Executive,2,3,7,Marketing,1,3,2,2,3,Sometimes,No,15,37.5,1,1,3,5,2,3,20
199,24,M,Single,Yes,Research & Development,Research Scientist,1,4,1,Life Sciences,3,2,4,2,4,Mostly,Yes,23,37.5,0,2,4,9,1,3,15
200,35,F,Single,No,Research & Development,Sales Executive,3,3,1,Technical Degree,2,3,1,2,3,Sometimes,Yes,11,37.5,0,2,3,18,13,16,15
201,49,M,Divorced,No,Research & Development,Research Director,5,2,0,Life Sciences,3,2,3,2,3,Sometimes,No,13,37.5,3,3,2,1,1,1,21
202,41,M,Divorced,No,Research & Development,Healthcare Representative,3,3,5,Medical,2,3,3,2,3,Sometimes,No,13,37.5,2,2,2,5,4,2,20
203,39,F,Single,Yes,Human Resources,Laboratory Technician,1,2,4,Life Sciences,2,3,1,1,3,Sometimes,No,12,37.5,0,2,2,1,1,1,3
204,34,M,Divorced,No,Research & Development,Research Scientist,2,4,2,Life Sciences,2,2,1,3,4,No,No,25,37.5,1,3,3,5,3,3,2
205,55,M,Single,No,Research & Development,Laboratory Technician,1,5,3,Life Sciences,4,1,3,3,4,Mostly,No,20,37.5,0,5,3,1,1,1,16
206,36,M,Single,No,Human Resources,Human Resources,2,3,1,Life Sciences,3,3,4,2,3,No,No,13,37.5,0,2,2,7,7,7,6
207,29,F,Married,No,Research & Development,Manufacturing Director,3,2,4,Life Sciences,1,3,4,3,4,Sometimes,Yes,21,37.5,1,2,2,9,8,7,4
208,29,M,Single,No,Sales,Sales Representative,1,1,3,Life Sciences,4,3,3,3,3,Mostly,Yes,13,37.5,0,3,3,2,2,2,2
209,36,F,Single,Yes,Sales,Sales Executive,2,3,1,Marketing,1,3,2,1,3,No,Yes,11,37.5,0,2,1,13,9,8,7
210,30,M,Divorced,No,Research & Development,Healthcare Representative,2,4,4,Technical Degree,4,2,4,3,3,Sometimes,Yes,14,37.5,1,2,3,10,8,8,16
211,45,F,Married,No,Research & Development,Manufacturing Director,4,4,2,Medical,3,2,3,3,3,Sometimes,No,11,37.5,0,1,3,9,6,7,17
212,49,M,Single,No,Sales,Sales Executive,3,3,3,Life Sciences,1,3,4,4,3,No,No,15,37.5,0,2,3,3,2,2,1
213,43,F,Single,No,Sales,Sales Executive,2,2,1,Technical Degree,1,2,4,1,3,Sometimes,No,14,37.5,0,0,3,1,1,1,1
214,40,F,Divorced,No,Research & Development,Research Director,3,4,1,Medical,4,3,4,4,3,Sometimes,No,11,37.5,1,3,4,25,7,12,4
215,42,M,Married,No,Research & Development,Manufacturing Director,3,4,8,Medical,2,3,3,2,3,Sometimes,No,12,37.5,1,5,3,4,2,2,8
216,35,M,Single,No,Research & Development,Manufacturing Director,3,4,0,Life Sciences,3,4,4,1,3,Sometimes,No,13,37.5,0,3,3,10,8,8,1
217,52,F,Single,No,Sales,Manager,4,3,4,Marketing,2,3,4,4,3,Sometimes,No,11,37.5,0,2,4,2,2,2,12
218,44,M,Single,Yes,Sales,Sales Executive,4,4,2,Life Sciences,1,3,1,2,3,Sometimes,No,11,37.5,0,2,3,2,2,1,1
219,49,M,Married,No,Research & Development,Manager,4,3,9,Medical,2,3,1,2,3,Sometimes,Yes,14,37.5,0,3,3,10,9,7,13
220,29,M,Divorced,No,Research & Development,Research Scientist,1,1,1,Life Sciences,4,2,3,4,4,Sometimes,No,25,37.5,1,6,3,1,1,1,2
221,29,M,Married,No,Research & Development,Healthcare Representative,2,3,0,Life Sciences,2,3,1,3,3,Sometimes,Yes,11,37.5,1,2,3,8,6,6,23
222,41,F,Single,Yes,Research & Development,Laboratory Technician,1,4,8,Life Sciences,1,3,4,3,3,Sometimes,Yes,16,37.5,0,2,4,1,1,1,16
223,35,M,Married,No,Research & Development,Laboratory Technician,1,4,1,Medical,4,4,4,1,3,Mostly,No,12,37.5,1,3,2,1,1,1,1
224,35,F,Divorced,No,Human Resources,Research Scientist,1,2,1,Medical,4,3,1,4,4,No,Yes,25,37.5,3,6,3,8,8,7,13
225,29,F,Divorced,No,Research & Development,Laboratory Technician,1,2,6,Life Sciences,2,3,1,2,4,Sometimes,Yes,21,37.5,1,2,3,3,1,3,23
226,50,M,Married,No,Research & Development,Laboratory Technician,1,1,1,Life Sciences,3,3,1,2,3,Mostly,Yes,15,37.5,1,3,2,6,4,4,2
227,29,M,Married,Yes,Research & Development,Research Scientist,1,2,8,Technical Degree,1,2,4,1,3,Sometimes,Yes,14,37.5,3,3,4,5,1,4,1
228,54,F,Divorced,No,Sales,Manager,5,4,3,Marketing,2,2,1,1,3,No,No,17,37.5,1,3,3,7,7,7,21
229,27,M,Divorced,No,Research & Development,Human Resources,2,3,1,Other,3,2,4,1,3,Sometimes,No,11,37.5,2,3,3,7,7,7,1
230,36,M,Divorced,No,Research & Development,Manufacturing Director,2,3,4,Life Sciences,4,3,3,1,3,Sometimes,No,13,37.5,1,2,3,7,0,7,5
231,30,M,Divorced,No,Research & Development,Laboratory Technician,1,2,2,Life Sciences,4,2,4,4,3,Sometimes,No,15,37.5,1,3,2,3,2,2,1
232,51,M,Married,No,Research & Development,Laboratory Technician,1,4,2,Life Sciences,3,3,1,2,3,Mostly,Yes,19,37.5,0,3,4,8,7,3,5
233,32,M,Married,No,Human Resources,Healthcare Representative,3,2,6,Medical,4,3,1,4,3,Sometimes,Yes,11,37.5,1,1,4,8,6,6,7
234,51,M,Married,No,Research & Development,Research Scientist,1,4,1,Marketing,4,2,4,3,3,No,No,14,37.5,2,5,1,2,2,2,7
235,30,F,Divorced,No,Research & Development,Laboratory Technician,2,4,3,Technical Degree,3,4,3,4,3,Sometimes,No,13,37.5,1,4,3,1,1,1,1
236,36,F,Married,No,Research & Development,Research Director,3,3,0,Life Sciences,4,3,4,1,3,Sometimes,Yes,16,37.5,0,3,3,4,2,3,5
237,28,M,Single,No,Sales,Sales Executive,2,2,1,Medical,1,3,4,1,3,Sometimes,No,16,37.5,0,2,3,2,2,2,3
238,36,M,Divorced,No,Research & Development,Manufacturing Director,2,3,9,Medical,2,3,1,3,3,Mostly,Yes,14,37.5,1,0,3,3,2,3,13
239,32,F,Married,No,Sales,Sales Executive,2,2,5,Technical Degree,1,4,3,3,3,Mostly,No,19,37.5,1,0,3,6,2,3,1
240,45,M,Married,No,Research & Development,Research Director,3,1,4,Medical,4,2,3,2,3,Sometimes,No,12,37.5,1,3,3,6,2,2,3
241,34,F,Divorced,No,Research & Development,Laboratory Technician,1,3,1,Life Sciences,4,1,3,1,3,Sometimes,Yes,13,37.5,2,2,3,10,9,8,1
242,27,M,Divorced,No,Research & Development,Laboratory Technician,1,1,0,Life Sciences,3,1,4,4,4,Sometimes,Yes,23,37.5,1,6,1,4,4,2,2
243,27,M,Married,No,Research & Development,Laboratory Technician,1,3,1,Technical Degree,4,3,3,2,3,Mostly,Yes,13,37.5,1,5,3,3,2,2,16
244,58,M,Married,Yes,Research & Development,Research Scientist,1,3,3,Life Sciences,4,3,3,2,4,Sometimes,No,21,37.5,1,2,2,3,0,3,9
245,42,F,Single,No,Sales,Sales Executive,3,3,7,Marketing,3,3,4,1,3,Sometimes,Yes,12,37.5,0,2,3,8,6,3,3
246,41,M,Married,Yes,Research & Development,Research Scientist,1,3,2,Medical,4,3,4,3,3,Sometimes,Yes,14,37.5,1,5,3,7,0,3,20
247,44,M,Married,No,Sales,Sales Executive,2,4,4,Marketing,2,3,1,4,3,Sometimes,No,11,37.5,1,5,3,3,2,2,9
248,23,F,Single,No,Sales,Sales Executive,2,3,1,Life Sciences,3,2,4,2,3,Sometimes,Yes,15,37.5,0,0,3,3,2,2,24
249,33,F,Divorced,No,Research & Development,Research Director,2,1,9,Life Sciences,1,2,3,4,3,Sometimes,Yes,14,37.5,1,0,2,9,7,7,1
250,29,F,Divorced,No,Research & Development,Research Scientist,2,2,1,Life Sciences,3,3,3,4,3,Mostly,No,12,37.5,1,4,3,7,3,7,21
251,37,M,Single,No,Research & Development,Research Director,3,1,0,Medical,4,2,2,3,3,Sometimes,No,19,37.5,0,4,3,10,0,9,5
252,27,F,Married,No,Sales,Sales Executive,2,3,1,Life Sciences,4,3,1,2,3,Sometimes,No,13,37.5,0,3,2,5,4,4,9
253,55,M,Single,No,Research & Development,Research Director,4,3,9,Medical,1,3,4,2,3,Sometimes,No,13,37.5,0,2,3,23,12,11,2
254,51,F,Married,No,Research & Development,Manager,5,3,1,Life Sciences,3,3,2,1,3,Sometimes,No,14,37.5,1,2,3,16,10,15,1
255,33,F,Married,No,Research & Development,Healthcare Representative,2,3,1,Medical,4,3,4,4,3,Sometimes,No,19,37.5,3,3,3,10,7,7,1
256,27,F,Married,No,Research & Development,Laboratory Technician,1,1,1,Life Sciences,4,3,3,4,3,Sometimes,Yes,13,37.5,1,2,3,3,1,3,18
257,33,M,Single,No,Sales,Sales Representative,1,3,1,Marketing,3,3,3,2,3,Sometimes,No,17,37.5,0,3,3,7,1,7,26
258,31,M,Married,No,Sales,Sales Executive,2,3,3,Life Sciences,3,3,3,3,3,Sometimes,Yes,11,37.5,1,1,3,6,4,5,3
259,31,F,Married,Yes,Sales,Sales Representative,1,5,3,Life Sciences,2,2,4,3,3,Sometimes,No,11,37.5,3,4,3,6,3,3,1
260,58,F,Married,No,Research & Development,Research Director,4,5,3,Medical,4,2,2,2,3,Sometimes,Yes,16,37.5,2,2,3,24,14,12,2
261,33,M,Married,No,Research & Development,Manufacturing Director,3,3,0,Medical,1,3,3,2,3,Sometimes,No,13,37.5,0,2,2,5,2,2,7
262,26,M,Single,Yes,Sales,Sales Representative,1,4,1,Technical Degree,1,2,1,3,3,Sometimes,No,12,37.5,0,3,1,6,3,3,23
263,49,M,Single,No,Research & Development,Research Director,3,2,2,Medical,4,3,3,3,3,Mostly,No,15,37.5,0,5,3,5,3,3,2
264,29,M,Married,No,Sales,Sales Executive,2,3,1,Medical,2,2,4,4,3,Mostly,No,14,37.5,2,2,3,5,3,4,15
265,51,M,Married,No,Human Resources,Manager,5,1,3,Life Sciences,4,4,4,4,3,No,Yes,14,37.5,1,4,2,1,1,1,18
266,26,M,Single,No,Research & Development,Research Scientist,1,5,6,Life Sciences,2,2,1,4,3,Sometimes,No,13,37.5,0,3,3,2,2,2,1
267,47,M,Married,No,Research & Development,Research Scientist,1,3,2,Life Sciences,3,3,4,4,4,Sometimes,No,25,37.5,1,2,3,3,2,2,10
268,32,M,Married,No,Research & Development,Healthcare Representative,2,1,1,Technical Degree,2,3,4,2,4,Mostly,No,20,37.5,1,2,3,10,9,8,7
269,36,M,Married,No,Research & Development,Manufacturing Director,3,3,2,Life Sciences,4,3,4,2,3,Sometimes,No,15,37.5,1,2,3,7,4,7,15
270,58,M,Married,No,Sales,Sales Executive,2,4,3,Marketing,2,4,2,3,3,No,Yes,14,37.5,3,2,2,9,7,8,29
271,40,M,Single,No,Research & Development,Manager,3,2,3,Life Sciences,4,2,4,4,3,Sometimes,No,18,37.5,0,2,1,5,0,4,3
272,35,M,Single,No,Research & Development,Laboratory Technician,1,3,1,Medical,2,3,3,4,3,Sometimes,No,11,37.5,0,3,2,5,4,4,11
273,37,M,Single,Yes,Sales,Sales Executive,5,4,2,Marketing,1,2,4,2,3,Sometimes,No,11,37.5,0,2,4,3,3,3,1
274,35,M,Married,No,Sales,Sales Executive,2,4,0,Life Sciences,2,3,2,3,3,No,No,15,37.5,1,2,3,8,0,2,16
275,27,M,Single,Yes,Research & Development,Laboratory Technician,1,3,1,Life Sciences,3,2,1,1,3,Mostly,Yes,12,37.5,0,5,3,1,1,1,9
276,37,F,Married,No,Research & Development,Manufacturing Director,2,4,7,Medical,2,2,1,3,3,No,No,14,37.5,0,2,4,14,9,7,8
277,51,F,Married,No,Research & Development,Manufacturing Director,2,4,2,Life Sciences,2,2,1,4,3,Sometimes,No,14,37.5,1,4,4,9,7,8,12
278,41,M,Single,No,Research & Development,Laboratory Technician,1,4,2,Life Sciences,1,3,3,4,4,Sometimes,Yes,25,37.5,0,2,3,1,1,1,6
279,32,M,Single,No,Sales,Sales Executive,3,2,0,Marketing,1,3,3,2,3,Sometimes,Yes,11,37.5,0,6,2,1,1,1,5
280,34,F,Single,No,Research & Development,Research Scientist,2,4,1,Life Sciences,4,3,4,4,3,Sometimes,No,13,37.5,0,1,2,19,7,0,7
281,44,F,Single,No,Research & Development,Healthcare Representative,5,4,2,Medical,4,2,4,4,3,Mostly,No,11,37.5,0,6,3,1,1,1,22
282,40,F,Married,No,Sales,Sales Executive,3,3,2,Marketing,2,3,3,4,3,Sometimes,No,14,37.5,1,2,3,33,2,2,1
283,46,F,Single,Yes,Sales,Sales Executive,2,2,3,Other,4,4,1,1,3,Mostly,Yes,14,37.5,0,3,3,8,4,7,1
284,37,M,Single,No,Research & Development,Laboratory Technician,2,2,2,Medical,4,4,2,4,3,Sometimes,No,12,37.5,1,2,3,8,7,7,1
285,45,F,Married,No,Sales,Sales Executive,2,3,0,Marketing,3,3,4,4,3,Sometimes,No,15,37.5,1,3,3,7,7,7,2
286,29,M,Divorced,No,Research & Development,Laboratory Technician,1,4,1,Medical,2,3,4,2,3,Sometimes,No,12,37.5,1,2,3,4,3,3,5
287,45,F,Single,Yes,Research & Development,Research Scientist,2,4,1,Other,4,2,3,3,3,Sometimes,No,13,37.5,0,6,3,19,7,9,1
288,37,M,Single,No,Research & Development,Laboratory Technician,1,3,1,Technical Degree,3,3,2,2,3,Sometimes,No,14,37.5,0,3,2,6,2,6,24
289,35,M,Married,No,Research & Development,Manufacturing Director,2,3,0,Life Sciences,3,3,4,4,3,Sometimes,Yes,11,37.5,1,5,3,5,3,1,1
290,48,F,Married,No,Sales,Sales Executive,2,3,4,Other,3,3,1,3,3,Mostly,No,15,37.5,1,1,3,7,5,7,29
291,41,M,Married,No,Sales,Sales Representative,1,2,7,Medical,2,3,3,3,3,Mostly,No,11,37.5,0,3,3,3,2,2,2
292,56,M,Divorced,No,Research & Development,Laboratory Technician,1,3,1,Life Sciences,4,2,4,3,3,Sometimes,No,11,37.5,1,3,3,10,2,3,4
293,46,M,Married,No,Research & Development,Research Director,3,4,1,Technical Degree,1,2,4,2,3,Sometimes,No,18,37.5,1,3,3,11,9,8,1
294,20,F,Married,No,Sales,Sales Representative,1,2,1,Life Sciences,3,2,4,3,3,Sometimes,No,11,37.5,3,0,3,6,3,3,2
295,44,M,Married,No,Research & Development,Research Director,5,2,6,Medical,1,3,3,4,3,Sometimes,No,11,37.5,0,3,2,7,4,6,5
296,42,F,Single,No,Human Resources,Sales Executive,2,2,3,Other,3,2,4,1,3,Sometimes,No,19,37.5,0,3,3,8,4,8,8
297,40,M,Divorced,No,Sales,Sales Executive,2,3,9,Technical Degree,2,1,4,4,3,Sometimes,No,11,37.5,1,3,3,13,2,2,8
298,29,M,Divorced,No,Sales,Sales Executive,2,1,6,Marketing,1,3,2,4,3,Sometimes,Yes,12,37.5,0,5,3,3,2,2,6
299,34,F,Divorced,No,Research & Development,Laboratory Technician,1,2,6,Other,1,4,4,4,3,Sometimes,No,14,37.5,1,3,3,1,1,1,4
300,26,M,Married,No,Research & Development,Manager,4,3,7,Medical,3,2,3,2,3,Sometimes,No,13,37.5,0,6,2,24,15,9,2
301,21,M,Single,No,Research & Development,Research Scientist,1,1,1,Medical,3,1,2,4,3,No,No,14,37.5,0,0,3,1,1,1,6
302,50,F,Single,No,Research & Development,Research Director,4,1,0,Life Sciences,2,2,1,3,4,Mostly,No,20,37.5,0,4,3,20,1,8,8
303,30,M,Divorced,No,Research & Development,Research Scientist,1,3,1,Medical,3,3,2,3,3,Sometimes,No,15,37.5,2,3,3,6,5,5,3
304,28,F,Single,Yes,Sales,Sales Representative,1,3,1,Medical,1,3,4,2,3,Sometimes,Yes,18,37.5,0,2,1,7,7,7,4
305,42,M,Divorced,No,Research & Development,Research Director,4,4,2,Medical,2,4,4,3,4,Mostly,No,24,37.5,1,0,3,7,0,7,22
306,31,M,Divorced,No,Research & Development,Research Scientist,1,3,3,Medical,4,3,4,2,3,Sometimes,Yes,13,37.5,1,2,4,9,7,7,9
307,55,M,Married,No,Sales,Sales Executive,3,2,7,Marketing,2,3,4,3,3,Sometimes,Yes,12,37.5,1,3,2,3,2,3,1
308,35,M,Single,Yes,Research & Development,Research Scientist,1,3,1,Medical,4,3,3,1,3,Sometimes,Yes,11,37.5,0,3,3,10,8,8,25
309,56,M,Single,No,Research & Development,Healthcare Representative,3,3,6,Other,4,1,2,1,3,No,No,15,37.5,0,2,3,3,0,2,8
310,21,M,Single,Yes,Research & Development,Research Scientist,1,3,4,Technical Degree,3,1,1,4,4,Sometimes,Yes,25,37.5,0,1,3,2,2,2,13
311,50,M,Single,No,Research & Development,Research Director,4,3,2,Medical,2,3,1,2,3,Sometimes,No,13,37.5,0,3,3,20,0,7,1
312,25,F,Married,No,Research & Development,Laboratory Technician,1,3,1,Technical Degree,1,3,1,3,4,Sometimes,No,21,37.5,3,3,3,5,5,2,1
313,54,F,Single,Yes,Research & Development,Manufacturing Director,4,2,2,Life Sciences,3,2,4,2,4,Sometimes,Yes,22,37.5,0,3,3,11,1,7,2
314,31,M,Married,Yes,Research & Development,Laboratory Technician,1,4,1,Medical,1,2,1,4,3,Sometimes,No,14,37.5,0,4,3,14,11,13,9
315,59,M,Married,No,Research & Development,Manager,3,3,7,Life Sciences,4,3,2,4,3,Mostly,No,12,37.5,0,3,3,5,2,2,5
316,54,M,Married,No,Research & Development,Manager,4,3,2,Medical,3,2,4,1,3,Sometimes,No,18,37.5,1,2,3,1,1,1,5
317,37,M,Divorced,Yes,Research & Development,Laboratory Technician,1,4,1,Life Sciences,1,2,3,2,3,Sometimes,Yes,12,37.5,3,3,3,4,2,4,8
318,59,M,Divorced,No,Research & Development,Manufacturing Director,2,2,9,Medical,2,3,3,4,3,No,Yes,14,37.5,2,2,3,6,4,2,19
319,41,F,Single,No,Research & Development,Manufacturing Director,2,1,9,Life Sciences,4,3,2,4,4,Sometimes,No,20,37.5,0,3,3,2,2,2,2
320,36,F,Divorced,Yes,Sales,Sales Executive,2,4,3,Life Sciences,3,1,4,4,3,Sometimes,Yes,12,37.5,1,1,2,7,5,3,9
321,34,M,Married,No,Research & Development,Manufacturing Director,3,3,9,Life Sciences,3,3,3,3,3,Sometimes,No,13,37.5,1,2,3,9,7,2,1
322,48,F,Married,No,Research & Development,Manager,5,3,1,Medical,4,3,2,3,3,Sometimes,No,12,37.5,1,3,3,21,9,11,2
323,31,M,Married,Yes,Human Resources,Laboratory Technician,1,3,7,Life Sciences,1,2,3,4,3,No,Yes,12,37.5,1,3,1,1,1,1,10
324,27,F,Married,No,Research & Development,Manufacturing Director,2,2,3,Medical,3,3,3,1,3,Sometimes,No,13,37.5,1,6,3,8,4,4,3
325,37,M,Divorced,No,Sales,Sales Executive,2,4,1,Marketing,4,3,3,3,3,Sometimes,No,15,37.5,1,3,2,7,7,7,14
326,30,M,Married,No,Sales,Sales Executive,3,1,1,Human Resources,3,3,3,3,4,Mostly,No,21,37.5,1,1,3,19,7,10,2
327,36,M,Married,Yes,Human Resources,Human Resources,1,3,3,Medical,1,2,4,1,3,Sometimes,No,12,37.5,3,2,2,1,1,1,8
328,50,M,Married,No,Research & Development,Manufacturing Director,2,2,1,Life Sciences,1,3,4,4,3,Mostly,No,14,37.5,2,4,1,0,0,0,1
329,24,M,Single,No,Sales,Human Resources,1,3,1,Life Sciences,4,3,4,2,3,Sometimes,No,12,37.5,0,2,4,10,7,7,9
330,34,M,Single,No,Sales,Sales Executive,3,4,2,Life Sciences,4,3,3,2,3,Sometimes,No,17,37.5,0,4,3,8,7,5,2
331,32,M,Single,Yes,Sales,Sales Executive,3,3,0,Medical,2,3,3,1,3,Sometimes,Yes,11,37.5,0,0,3,10,7,8,10
332,27,M,Single,No,Research & Development,Research Scientist,1,3,1,Life Sciences,3,3,4,4,3,Sometimes,No,13,37.5,0,1,2,9,7,9,15
333,29,M,Single,No,Research & Development,Laboratory Technician,2,2,1,Life Sciences,4,3,2,2,4,No,Yes,22,37.5,0,3,1,6,2,3,4
334,54,F,Married,No,Research & Development,Manager,4,5,2,Medical,1,3,3,3,3,Sometimes,No,11,37.5,0,2,3,5,4,5,2
335,56,F,Married,No,Research & Development,Healthcare Representative,3,4,1,Life Sciences,2,2,4,3,3,Mostly,No,14,37.5,1,2,3,16,15,7,8
336,55,F,Divorced,No,Research & Development,Manager,4,4,1,Life Sciences,2,3,1,1,4,Sometimes,No,21,37.5,3,2,3,20,7,15,21
337,38,M,Married,No,Research & Development,Research Scientist,2,2,1,Medical,1,3,3,2,3,Mostly,No,13,37.5,1,3,2,6,2,4,25
338,45,M,Single,No,Sales,Sales Representative,1,2,0,Marketing,2,4,3,4,3,Sometimes,Yes,13,37.5,0,4,3,6,2,2,2
339,29,F,Single,No,Research & Development,Laboratory Technician,1,1,1,Life Sciences,4,3,1,3,3,Mostly,No,15,37.5,0,1,3,3,3,3,1
340,44,F,Married,No,Sales,Manager,4,4,4,Life Sciences,3,4,3,4,3,Sometimes,No,12,37.5,2,3,3,7,7,7,1
341,29,F,Single,Yes,Research & Development,Research Scientist,1,3,3,Life Sciences,1,4,1,1,3,Sometimes,Yes,14,37.5,0,3,2,6,0,6,1
342,49,F,Married,No,Research & Development,Laboratory Technician,4,4,2,Medical,1,4,3,3,3,No,No,12,37.5,1,2,3,7,7,1,28
343,27,F,Single,No,Research & Development,Healthcare Representative,3,1,1,Life Sciences,4,2,4,3,4,No,No,22,37.5,0,3,3,6,3,3,8
344,44,M,Married,No,Research & Development,Manufacturing Director,2,4,9,Technical Degree,1,3,3,3,3,Mostly,No,16,37.5,0,2,3,7,2,5,13
345,41,M,Single,No,Sales,Sales Executive,2,4,0,Life Sciences,4,2,3,2,3,Sometimes,No,12,37.5,0,2,3,9,7,7,1
346,37,F,Married,No,Research & Development,Research Scientist,2,2,4,Medical,2,2,4,3,3,Sometimes,No,12,37.5,1,3,2,1,1,1,1
347,36,M,Divorced,No,Research & Development,Healthcare Representative,2,4,1,Medical,3,3,2,2,3,Sometimes,No,12,37.5,1,3,2,5,3,2,2
348,30,M,Divorced,No,Research & Development,Laboratory Technician,1,1,4,Medical,1,3,3,4,3,No,No,19,37.5,2,2,4,5,1,4,16
349,28,M,Divorced,No,Research & Development,Research Scientist,1,3,1,Life Sciences,4,3,2,3,3,Sometimes,Yes,13,37.5,2,2,4,1,1,1,2
350,31,F,Single,No,Research & Development,Laboratory Technician,1,4,4,Technical Degree,3,3,4,3,4,No,No,22,37.5,0,2,3,8,2,2,7
351,40,F,Married,No,Research & Development,Healthcare Representative,2,2,2,Medical,2,4,1,3,3,No,No,19,37.5,1,2,2,7,1,2,2
352,48,F,Single,No,Research & Development,Manufacturing Director,3,2,1,Medical,2,1,4,2,3,Sometimes,Yes,15,37.5,0,2,2,10,7,8,7
353,42,F,Divorced,No,Research & Development,Manager,5,4,4,Technical Degree,4,3,3,4,3,No,No,13,37.5,1,2,3,2,1,2,21
354,30,M,Married,No,Research & Development,Laboratory Technician,1,3,8,Life Sciences,3,4,1,2,3,Mostly,No,14,37.5,1,3,2,5,4,3,1
355,25,M,Divorced,No,Research & Development,Research Scientist,1,2,0,Life Sciences,1,3,3,4,3,Sometimes,No,12,37.5,1,2,2,4,2,2,7
356,47,F,Married,No,Research & Development,Manager,4,5,3,Life Sciences,1,4,4,1,3,Sometimes,Yes,13,37.5,0,3,2,3,2,2,2
357,46,M,Divorced,No,Research & Development,Healthcare Representative,1,5,0,Medical,2,3,2,2,3,Sometimes,No,12,37.5,1,2,2,2,2,2,13
358,48,M,Single,No,Research & Development,Research Scientist,1,3,1,Technical Degree,3,3,3,4,3,Sometimes,No,12,37.5,0,4,2,5,2,3,1
359,45,M,Single,No,Sales,Sales Executive,2,2,5,Other,1,2,4,3,3,Mostly,Yes,13,37.5,0,3,3,1,1,1,9
360,32,M,Single,Yes,Research & Development,Laboratory Technician,2,3,1,Life Sciences,1,4,3,1,3,Sometimes,No,11,37.5,0,2,3,5,3,3,18
361,21,M,Single,Yes,Research & Development,Research Scientist,1,1,0,Medical,2,2,3,4,3,Sometimes,No,14,37.5,1,2,2,0,0,0,3
362,50,M,Married,No,Research & Development,Manager,5,2,3,Life Sciences,3,3,4,2,3,No,No,13,37.5,1,2,3,7,7,4,29
363,32,F,Married,No,Sales,Sales Representative,1,3,0,Life Sciences,4,3,4,2,3,Sometimes,Yes,18,37.5,1,3,3,3,3,2,1
364,51,M,Married,No,Sales,Manager,3,3,4,Medical,3,3,2,2,3,Sometimes,Yes,12,37.5,1,3,3,22,6,7,8
365,26,F,Single,Yes,Research & Development,Healthcare Representative,2,3,1,Medical,4,3,3,4,3,Sometimes,No,19,37.5,0,6,4,4,4,1,7
366,37,F,Married,No,Research & Development,Research Scientist,1,3,0,Life Sciences,4,2,1,1,3,Sometimes,No,14,37.5,2,3,4,7,0,7,1
367,27,M,Married,No,Sales,Sales Representative,1,2,1,Technical Degree,3,2,2,1,3,Sometimes,No,12,37.5,0,2,4,5,2,2,16
